Unnamed: 0,index,site_store,b2b_b2c,channel_id,region,city_level,store_concept,trade_term,area_range,store_type,urbanization,branch_area,address_2,address_3,showroom_area,warehouse_area,start_month,start_year,end_month,end_year,note,customer_id,customer_name
0,0,60000003,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,12acd22507c8517a0af320ca3b6f0c3adfe073e88e9,HCM,,,8,2010,,,,435043cf9,customer878
1,1,60000006,B2B,ST,KVMN,Cấp 2,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,3a1d759ee26959d942915ce26a1844a3e30f030a2a56af,ĐNI,,,8,2010,,,,db3c83bfa,customer904
2,2,60000007,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,fca7b412bf82508f748bbe9e9a4f,HCM,,,8,2010,,,,f9bd8e994,customer1213
3,3,60000008,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,a6fc75f56739cb48d67bc98c86c558e375de0a05,HCM,,,8,2010,,,,c6fb2b695,customer1792
4,4,60000534,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,1b4e7d0f00e7f6e90a0c3350e51fbc6db8684e33448e8a3b,HCM,,,8,2010,,,,68be208f8,customer463
5,5,60000535,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,53027f21ce80c89d9de04191d71f30ef9456d408d1,HCM,,,8,2010,,,,08dad4c83,customer1702
6,6,60000536,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,94fc470aee11920376875d82b795,HCM,,,8,2010,,,,775df4a2f,customer1627
7,7,60000537,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,fbb5cad90d014f64074128cf,HCM,,,8,2010,,,,acc630f2d,customer559
8,8,60000538,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,TT hành chính kinh tế,CNMN,d224eb972236f8395bca0957f7,HCM,,,8,2010,,,,c8d7ed0b8,customer1085
9,9,60000539,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,69f2f2284c54777de9ccb5f4aa442b73c2b6aae97be89d1b7,HCM,,,8,2010,,,,1526ca049,customer919
10,10,60000540,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,707fcd9cfec2388a9bdcf209,HCM,,,8,2010,,,,62c7860e5,customer1633
11,11,60000541,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,db0d1652421adb99a3f49fe95f,HCM,,,8,2010,,,,b9b40fac6,customer1187
12,12,60000542,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,78a73dc6ce6012646fe5269f9b,HCM,,,8,2010,,,,2b518dfbe,customer1882
13,13,60000543,B2B,ST,KVMN,Cấp 2,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,f0d0de06e06e051b93f2c924e8b1796add6af943,TGG,,,8,2010,,,,45c97fc3b,customer1748
14,14,60000545,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,63db01a93c904633bbe9006d7f3,HCM,,,8,2010,,,,ed6a79730,customer1160
15,15,60000546,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,5831fe54aaaa4e2dfa1c23f99866d4bdbf94f2393907,HCM,,,8,2010,,,,2e74f581f,customer1385
16,16,60000547,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,655bb19658cc5d67ae0a89ca67,HCM,,,8,2010,,,,48cc1c44c,customer656
17,17,60000548,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,55d6183ef0494834d7eeba299,HCM,,,8,2010,,,,97c569abe,customer1115
18,18,60000549,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,16f4873f1aa7136f1e759253886d,HCM,,,8,2010,,,,e18fef5a4,customer819
19,19,60000551,B2B,ST,KVMN,Cấp 2,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,24fb1c3a89a3449bfd84dfddab132dbf0f92128eaec5,BTE,,,8,2010,,,,f57d66d21,customer1751
20,20,60000552,B2B,ST,KVMN,Cấp 2,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,237558776960aacb9d4016e27ab905af3c20d94112775b,ĐNI,,,8,2010,,,,fcbc83e38,customer593
