Unnamed: 0,index,site_store,b2b_b2c,channel_id,region,city_level,store_concept,trade_term,area_range,store_type,urbanization,branch_area,address_2,address_3,showroom_area,warehouse_area,start_month,start_year,end_month,end_year,note,customer_id,customer_name
0,0,60000003,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,88c97e611c2d5b7d3a72a376d0f57044f011aa232ed,HCM,,,8,2010,,,,435043cf9,customer878
1,1,60000006,B2B,ST,KVMN,Cấp 2,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,ca446c1fc21289d04e96edfdbba75c90feb35c08da8b,ĐNI,,,8,2010,,,,db3c83bfa,customer904
2,2,60000007,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,1652ac6e23835243105a6dc8fd81,HCM,,,8,2010,,,,f9bd8e994,customer1213
3,3,60000008,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,2cb601d4a696152514223cde0061f2ab6bdef3a29,HCM,,,8,2010,,,,c6fb2b695,customer1792
4,4,60000534,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,82c17a98a99f44fee276061f7bbc87b835494170ce36673,HCM,,,8,2010,,,,68be208f8,customer463
5,5,60000535,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,4951a2e17aca3edb6aeadea2b6921897447e53925,HCM,,,8,2010,,,,08dad4c83,customer1702
6,6,60000536,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,5d9e2a03b169d1b9d44c62ce83fd,HCM,,,8,2010,,,,775df4a2f,customer1627
7,7,60000537,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,12c33c199293d1e80526e7325,HCM,,,8,2010,,,,acc630f2d,customer559
8,8,60000538,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,TT hành chính kinh tế,CNMN,590bf0f06a870fc59e9f856f9,HCM,,,8,2010,,,,c8d7ed0b8,customer1085
9,9,60000539,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,1b42dd60ed3168937ca56d24852101864c32704fa30db42f59,HCM,,,8,2010,,,,1526ca049,customer919
