Year,Month,Month_3Char,Week,YearWeek,Start Date,End Date,CNY
2016,1,1,1,201601,7dc109db1dc8ae957f08dfb3d78fb59e622eb7,2016-01-10,No
2016,1,1,2,201602,5e8794465d4f8e8c733264539bb523006a3f,2016-01-17,No
2016,1,1,3,201603,77dda5bb83522e5633a4cecc1bab718615dde3,2016-01-24,Yes
2016,1,1,4,201604,3be09efb593bab8fc454701137f47adfe0909,2016-01-31,Yes
2016,2,2,5,201605,135e4dcf76ee760aefd7d550cda7dae2c2bd07,2016-02-07,Yes
2016,2,2,6,201606,5a82ee1570eb68765e3880154770c3405193f,2016-02-14,Yes
2016,2,2,7,201607,5c12eae733abec5f6bc27d8113ba55ecc6a9,2016-02-21,Yes
2016,2,2,8,201608,3598f373770b2457f2e8e562f03ae124773a1,2016-02-28,No
2016,3,3,9,201609,ed14de91057b0e7c7656dd8eb29a7fac8e36cd,2016-03-06,No
2016,3,3,10,201610,1daa0ca61f4440ba76eba3ceea4786f153575,2016-03-13,No
2016,3,3,11,201611,192b909a390506a42029ba8135e06553db877,2016-03-20,No
2016,3,3,12,201612,1cc050a4eef72ecc3e0a82fb4521a003eb313,2016-03-27,No
2016,3,3,13,201613,d7886494fb2b6c75ba8e4fc17f09b19e518931,2016-04-03,No
2016,4,4,14,201614,8ae6c87b8aa3f9d712582620f4d82d1e352bf9,2016-04-10,No
2016,4,4,15,201615,77ffab82c979057fbc1c6b75f310ddefb1d58d,2016-04-17,No
2016,4,4,16,201616,263a78e46ee64ae4a092e34c396f63b9d5e4a5,2016-04-24,No
2016,4,4,17,201617,8afc90aa9d853d339268f394ed1039ef634839,2016-05-01,No
2016,5,5,18,201618,3c21acfa67eac36ce60e535daf7d6f5158d989,2016-05-08,No
2016,5,5,19,201619,2070f6efcf04aec18e1fe88e69f19b0c145b6f,2016-05-15,No
2016,5,5,20,201620,654b98183c1885771dcf66d6cc9f29efc26d,2016-05-22,No
2016,5,5,21,201621,1f3c6c858ed185892e846f3a91179970693309,2016-05-29,No
2016,6,6,22,201622,6c4d93fc7e1409e7b130354c5420a3a55337,2016-06-05,No
2016,6,6,23,201623,2411bc580b2fbf703eedcea02167a1b12b58d,2016-06-12,No
2016,6,6,24,201624,a8fffe8d6a144c1bde547dfa79fff2f15b9b9,2016-06-19,No
2016,6,6,25,201625,9d32a2f6fb695edb24b7d7ba0e532dd8a9b2f,2016-06-26,No
2016,6,6,26,201626,ebe0c98e66f89e8e09ed328626629ce94c18f,2016-07-03,No
2016,7,7,27,201627,151ff701c87cbedfd35932f41786cb13c93cd,2016-07-10,No
2016,7,7,28,201628,13b6e50bea470ab826a068e4c283c90c6c6cf,2016-07-17,No
2016,7,7,29,201629,6ba10c208da18934ae9c6cf19223b8c2ccd9,2016-07-24,No
2016,7,7,30,201630,cbbf55632bce15d180621b5765bab4939e6c1,2016-07-31,No
2016,8,8,31,201631,98ab4d8a1c93e5dfceeddb622413307945063,2016-08-07,No
2016,8,8,32,201632,144b96c5c78db2525a6265ada49c504a7fb57,2016-08-14,No
2016,8,8,33,201633,25f3e70ecbeeac47818f00c6597d74f5fe274d,2016-08-21,No
2016,8,8,34,201634,e3713f8737cdf3f7bd89861a4dd696c8476033,2016-08-28,No
2016,9,9,35,201635,4c8e2584e4f399eeebb06b9d79ca4f90b0845,2016-09-04,No
2016,9,9,36,201636,149053377e311463dd08ca9ec44b6feb8bddb,2016-09-11,No
2016,9,9,37,201637,39e2c903ec27974800783d89a8e8ca7f5ba5,2016-09-18,No
2016,9,9,38,201638,44ed746ff42ed73cc58c6630868fe3a9fc5deb,2016-09-25,No
2016,9,9,39,201639,95afabd9f2a11e76d23556ef1a68d02eb39f69,2016-10-02,No
2016,10,10,40,201640,352543ea12114ce6b25837a37bdadad1a0248d,2016-10-09,No
2016,10,10,41,201641,be9ccbe8e3b339a5b68ec333c5762679806f,2016-10-16,No
2016,10,10,42,201642,fdbe0c83ec7f421a0f5323b9dbe78b9fef607,2016-10-23,No
2016,10,10,43,201643,6f3ecdf069a46914bf2fb5e34e48f70b925fe3,2016-10-30,No
2016,11,11,44,201644,7647441d2227f96d7bf5266b706abb47d76291,2016-11-06,No
2016,11,11,45,201645,22d96ff28ee4e6472fb7a2ab42f9c20c5f629,2016-11-13,No
2016,11,11,46,201646,1ea7e88295265bcf621335b0059072821d4e1,2016-11-20,No
2016,11,11,47,201647,e89d22d5e21dbbbf36e6409459c2e7444fc0b9,2016-11-27,No
2016,12,12,48,201648,1feda9d41b49c439069e3212a6d3521955385,2016-12-04,No
2016,12,12,49,201649,1cb46860122bcc829db53ad551807f1fab76f,2016-12-11,No
2016,12,12,50,201650,2d96387f7951f04cd5a85b95143c6d5b12e347,2016-12-18,No
2016,12,12,51,201651,27986c52cc1a1b6c3b4c726b80b6b55f566d5,2016-12-25,No
2016,12,12,52,201652,b98b64cbccef0c6bdc9e4fd18e5797dc3bca69,2017-01-01,No
2017,1,1,1,201701,2255f9b8633ad5c75a6aef22d13cb8fc36d09,2017-01-08,Yes
2017,1,1,2,201702,340863fc190baccc6be56806ac8a1d431503,2017-01-15,Yes
2017,1,1,3,201703,48789e4e1e8c1c514e461f7a0b6cce0d78d59,2017-01-22,Yes
2017,1,1,4,201704,9480599909cfdd5605ed2193546d9be05b7d51,2017-01-29,Yes
2017,2,2,5,201705,3d982e9885b18a3fc50848a90494a7a0597b07,2017-02-05,Yes
2017,2,2,6,201706,5cdcf9b749958ddf5067e2acf69adab87cf1d,2017-02-12,No
2017,2,2,7,201707,17ba9fbcc3b099c15d0e533d819dae698942ef,2017-02-19,No
2017,2,2,8,201708,78467b51bc3d60c4ef42560ab23393579d0df,2017-02-26,No
2017,3,3,9,201709,210783dbbbb613a68796d3bc10986c991fa361,2017-03-05,No
2017,3,3,10,201710,3c7bf5020c56b9cf78366180052d77017b53a1,2017-03-12,No
2017,3,3,11,201711,9d48d2b60e4d4544a51e37e013860bb2ea40a5,2017-03-19,No
2017,3,3,12,201712,20cb94e1be4d115c1dbd56f78ff464e5049017,2017-03-26,No
2017,3,3,13,201713,228ec3ab62ae51a566d0823cae264fd31f375,2017-04-02,No
2017,4,4,14,201714,b6cbc3911ca397897c5492cdad785ccffe7a7b,2017-04-09,No
2017,4,4,15,201715,31a5a70cae3d2c59b4c42bc4bd8a5643d72e69,2017-04-16,No
2017,4,4,16,201716,60454f050f885f952172f62ff686c9c07ff91,2017-04-23,No
2017,4,4,17,201717,35f425ecf5684afd7e7b26b77bf5331928f435,2017-04-30,No
2017,5,5,18,201718,357b6d3e2230e6552af705ad9a5a937f290e9,2017-05-07,No
2017,5,5,19,201719,22be52b1022940edf3c91f3679418e06b71,2017-05-14,No
2017,5,5,20,201720,b880a59c680e0950f48419dfdaddee3953aff,2017-05-21,No
2017,5,5,21,201721,825373129d74a87f703287c657832b91a2b45,2017-05-28,No
2017,6,6,22,201722,1137736ad139959d12e967de6da8ad7269fe4d,2017-06-04,No
2017,6,6,23,201723,3e6205888928ed571557072cf9e67945a8a97d,2017-06-11,No
2017,6,6,24,201724,9bee25edd7f4695c6beb6f24f3672572230d,2017-06-18,No
2017,6,6,25,201725,1b94eb06cdaa204ebccfb714cad367267f9e45,2017-06-25,No
2017,6,6,26,201726,df091286adc72c88c771487bc7abd5087709f,2017-07-02,No
2017,7,7,27,201727,7cc565fccca187ddd1f3190939c06a769d77b,2017-07-09,No
