Unnamed: 0,index,site_store,b2b_b2c,channel_id,region,city_level,store_concept,trade_term,area_range,store_type,urbanization,branch_area,address_2,address_3,showroom_area,warehouse_area,start_month,start_year,end_month,end_year,note,customer_id,customer_name
0,0,60000003,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,19b772af0a0e1817fb9d314a30e6a1e288d170da383,HCM,,,8,2010,,,,435043cf9,customer878
1,1,60000006,B2B,ST,KVMN,Cấp 2,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,22a4699ed5f90efee0a0a84b2654cf339e8045fe2f147,ĐNI,,,8,2010,,,,db3c83bfa,customer904
2,2,60000007,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,55ae9c4fe436a98690b36f12b935,HCM,,,8,2010,,,,f9bd8e994,customer1213
3,3,60000008,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,cb0acc2fc579219b954156a1a5e516a6d3e83eacb,HCM,,,8,2010,,,,c6fb2b695,customer1792
4,4,60000534,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,2f32ce5c1817a289044b9c2ea275bd0c3fb20c22a353849,HCM,,,8,2010,,,,68be208f8,customer463
5,5,60000535,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,3d94af6ff96875b1542501bb01418457b661caeb33,HCM,,,8,2010,,,,08dad4c83,customer1702
6,6,60000536,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,2a82d56b368cae6c6e7a3c0ca3ed,HCM,,,8,2010,,,,775df4a2f,customer1627
7,7,60000537,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,12c11f843cc8210c2e6168377,HCM,,,8,2010,,,,acc630f2d,customer559
8,8,60000538,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,TT hành chính kinh tế,CNMN,f03593a42561cf2f9d51f86bb1,HCM,,,8,2010,,,,c8d7ed0b8,customer1085
9,9,60000539,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,431851263b41a03b44c8b2a8472462bcfb5b6d608506b2d25,HCM,,,8,2010,,,,1526ca049,customer919
10,10,60000540,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,9f89b4a1f9befa7536416820b,HCM,,,8,2010,,,,62c7860e5,customer1633
11,11,60000541,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,6af1461b0a7e226fc8f62dcaef,HCM,,,8,2010,,,,b9b40fac6,customer1187
12,12,60000542,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,dce9b69a16a84a42d6d12831,HCM,,,8,2010,,,,2b518dfbe,customer1882
13,13,60000543,B2B,ST,KVMN,Cấp 2,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,5f8380a9858325b5155964d5e8042f36452b363519,TGG,,,8,2010,,,,45c97fc3b,customer1748
14,14,60000545,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,c03829e18364511cbc8f5a0863,HCM,,,8,2010,,,,ed6a79730,customer1160
15,15,60000546,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,290bc531d34ae09c2539a26c8cc09afe6a9d3f3421dd,HCM,,,8,2010,,,,2e74f581f,customer1385
16,16,60000547,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,2683a9d1990f7c565263c523b,HCM,,,8,2010,,,,48cc1c44c,customer656
17,17,60000548,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,2ff58d170c44a8b82952eb6f,HCM,,,8,2010,,,,97c569abe,customer1115
18,18,60000549,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,6bf07b3a91c76fda1cfced4cc01,HCM,,,8,2010,,,,e18fef5a4,customer819
19,19,60000551,B2B,ST,KVMN,Cấp 2,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,223afb74aae25b01d01c55da4b26579c1444e6179f89,BTE,,,8,2010,,,,f57d66d21,customer1751
20,20,60000552,B2B,ST,KVMN,Cấp 2,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,33ca79f4080a7e6b5247eacdc1cef628ad185b4eb3127,ĐNI,,,8,2010,,,,fcbc83e38,customer593
21,21,60000553,B2B,ST,KVMN,Cấp 2,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,85011047055ca7276e65c53651eb170ccb1a9b6d1a370e5d33f,BPC,,,8,2010,,,,9157a3d3c,customer1662
22,22,60000554,B2B,ST,KVMN,Cấp 2,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,34dc6b596b9b3be27dcd4dee00b839a5c87f7c8bfb1,VTU,,,8,2010,,,,3715883f8,customer1314
23,23,60000555,B2B,ST,KVMN,Cấp 2,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,1e9705f2b60edb7ff23566a61f8e061e8c6e76ec9d9,VTU,,,8,2010,,,,18d369f01,customer1045
24,24,60000556,B2B,ST,KVMN,Cấp 2,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,902b5c39235178f50dcc1b0a210a1b02bbb523782d1b59f0dd,BTN,,,8,2010,,,,e58053fe5,customer1443
25,25,60000558,B2B,ST,KVMN,Cấp 2,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,67ff9367e3bc05a93946c818ddcae6fb7232b9b,LAN,,,8,2010,,,,8e9e8fc6d,customer340
26,26,60000559,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,19717f16586d8a03089ad49404dcf8aa87131f90ad04a5b,HCM,,,8,2010,,,,de50d4ba9,customer1780
27,27,60001167,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,986699ee5c50372b495f8347cfe3be0cd1e82a07,HCM,,,10,2010,,,,153d20c07,customer392
28,28,60002010,B2B,ST,KVMN,Cấp 2,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,1f22cd6ec2391728e4a29cb3bed48432b6cd30850b32fc90fe0be073b03,BDG,,,3,2011,,,,aee3c6c2a,customer291
29,29,60002100,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,630ccdc8ed536687c622ef3625d2b6eaf4538975,HCM,,,7,2011,,,,f08b2965e,customer1308
30,30,60002115,B2B,ST,KVMN,Cấp 2,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,6e8f01d37acf6542a0ba53ecba86a232acc3020e6055,TNH,,,9,2011,,,,89f802a1b,customer1557
31,31,60002151,B2B,ST,KVMN,Cấp 2,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,88dd5cf6f0c8574299d66b4f0ec88dd2dbe7703239dd,ĐNI,,,11,2011,,,,d4d368a24,customer487
32,32,60002180,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,7a22651b7d3c77f19e3991d1f48322e2f267406e5,HCM,,,2,2012,,,,d8f7b7bb9,customer1943
33,33,60002256,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,520e58126815c1af91d7bf6f18a94c3a961328d2b,HCM,,,8,2012,,,,3c5068312,customer1087
34,34,60002271,B2B,ST,KVMN,Cấp 2,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,65d5f591c960678d322028b18d18a217d4a8a11a6d300300d906bf8c56b,BDG,,,9,2012,,,,b3e663496,customer1502
35,35,60002284,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,22bf342df67a0d599d4aa2341a970a69f2ed0477d5,HCM,,,10,2012,,,,f40c1946b,customer1492
36,36,60002304,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,19e24ff2f2a86a2407a6c463aeb,HCM,,,11,2012,,,,4c024869c,customer1916
37,37,60002335,B2B,ST,KVMN,Còn lại,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nông thôn,CNMN,6f1983f138c8858cf438266807789f5c73163,BDG,,,3,2013,,,,f23bcd669,customer403
38,38,60002360,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,142598c61dfd6ae7cd9bfa0017097c1b21e1c10adff96dafb,HCM,,,4,2013,,,,593994cfb,customer902
