Year,Month,Month_3Char,Week,YearWeek,Start Date,End Date,CNY
2016,1,1,1,290d85516ef6bf2578c3253c8a81,2016-01-04,2016-01-10,No
2016,1,1,2,3ac1001997516e19638969edbb0a0b,2016-01-11,2016-01-17,No
2016,1,1,3,d7ab0d8e92dc7134985a31a25f3e93,2016-01-18,2016-01-24,Yes
2016,1,1,4,b899f6afe90c9ae7226acda84d2a3,2016-01-25,2016-01-31,Yes
2016,2,2,5,347f27dd81e11e20262b6fcc83ebbf,2016-02-01,2016-02-07,Yes
2016,2,2,6,f17ba2c23a10ddbdf5424b7c41cb,2016-02-08,2016-02-14,Yes
2016,2,2,7,23239ea5b60fb3d284064c34f22e5,2016-02-15,2016-02-21,Yes
2016,2,2,8,ff175783c026f79a98a476016729b,2016-02-22,2016-02-28,No
2016,3,3,9,ea9ae6c7bb6003991deac62177091,2016-02-29,2016-03-06,No
2016,3,3,10,73cea383c36ffaadee7799b1a1c63,2016-03-07,2016-03-13,No
2016,3,3,11,149a13da50e7a642a60f870558ff,2016-03-14,2016-03-20,No
2016,3,3,12,f4bf7d329125b684a9e24d43a01863,2016-03-21,2016-03-27,No
2016,3,3,13,974772bd480dbd6c8b4e1803136f5,2016-03-28,2016-04-03,No
2016,4,4,14,101352c57c1346cfda98bd5fd88b59,2016-04-04,2016-04-10,No
2016,4,4,15,e6f6d278a366983e416fe283e301b,2016-04-11,2016-04-17,No
2016,4,4,16,17a6a9ef87d83e5588a236dc757f5,2016-04-18,2016-04-24,No
2016,4,4,17,1b2cfa8d8b11db45115ba538a9bf3,2016-04-25,2016-05-01,No
2016,5,5,18,359c35c5d799c9994dcd8b9b312f3,2016-05-02,2016-05-08,No
2016,5,5,19,13293821e810c9fa2d2324d5f0a24b,2016-05-09,2016-05-15,No
2016,5,5,20,ac72b5426a1bd9da28b96587c5bd,2016-05-16,2016-05-22,No
2016,5,5,21,1b6a8920aa02e99cfdc33a4ee55385,2016-05-23,2016-05-29,No
2016,6,6,22,665d112a1c6cc0b0c9a3c454daef,2016-05-30,2016-06-05,No
2016,6,6,23,4c90d7022c2194e5396f458d8f7bd1,2016-06-06,2016-06-12,No
2016,6,6,24,1bc6b8a023daea0646eb45bb162f5,2016-06-13,2016-06-19,No
2016,6,6,25,446e3ee98b86dfad75436de58e80f,2016-06-20,2016-06-26,No
2016,6,6,26,367194dddf7f6841f9e5d082aa2d3,2016-06-27,2016-07-03,No
2016,7,7,27,5d0bfe763966b36cbfc2c844b899,2016-07-04,2016-07-10,No
